Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,24.67,25.77,26.85,35.92,SOLARA
Reserves,,,,,,,745.19,832.68,967.94,1556.86,SOLARA
Borrowings,,,,,,,632.87,538.05,721.96,620.73,SOLARA
Other Liabilities,,,,,,,414.43,560.28,434.86,396.66,SOLARA
Total,,,,,,,1817.16,1956.78,2151.61,2610.17,SOLARA
Net Block,,,,,,,1062.54,1194.74,1374.09,1359.01,SOLARA
Capital Work in Progress,,,,,,,70.31,39.2,40.21,87.72,SOLARA
Investments,,,,,,,18.53,18.12,18.03,18.13,SOLARA
Other Assets,,,,,,,665.78,704.72,719.28,1145.31,SOLARA
Total,,,,,,,1817.16,1956.78,2151.61,2610.17,SOLARA
Receivables,,,,,,,263.35,290.24,229.67,483.81,SOLARA
Inventory,,,,,,,187.66,213.94,279.73,294.97,SOLARA
Cash & Bank,,,,,,,46.93,76.37,56.58,198.38,SOLARA
No. of Equity Shares,,,,,,,24674267.0,25774267.0,26855267.0,35929767.0,SOLARA
New Bonus Shares,,,,,,,,,,,SOLARA
Face value,,,,,,,10.0,10.0,10.0,10.0,SOLARA
