Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,1.45,1.45,1.45,1.45,1.45,1.61,1.64,1.68,5.03,5.03,FOODSIN
Reserves,32.13,34.39,39.15,51.43,51.59,69.83,56.54,168.42,174.51,177.59,FOODSIN
Borrowings,157.12,185.93,190.99,152.88,199.3,174.28,190.19,98.94,133.88,163.52,FOODSIN
Other Liabilities,47.28,42.23,68.93,75.61,55.27,96.8,106.65,91.9,105.18,79.64,FOODSIN
Total,237.98,264.0,300.52,281.37,307.61,342.52,355.02,360.94,418.6,425.78,FOODSIN
Net Block,82.82,83.16,91.76,87.54,106.02,106.35,106.17,118.82,132.83,126.23,FOODSIN
Capital Work in Progress,8.55,12.21,13.79,17.07,1.48,0.69,1.83,1.58,3.05,17.74,FOODSIN
Investments,2.14,2.14,2.12,2.11,2.03,21.79,18.64,0.08,3.49,5.04,FOODSIN
Other Assets,144.47,166.49,192.85,174.65,198.08,213.69,228.38,240.46,279.23,276.77,FOODSIN
Total,237.98,264.0,300.52,281.37,307.61,342.52,355.02,360.94,418.6,425.78,FOODSIN
Receivables,40.97,34.46,47.66,34.72,45.73,58.32,63.73,64.04,81.13,81.42,FOODSIN
Inventory,65.39,81.9,95.45,96.29,114.14,112.43,115.17,109.06,137.78,130.23,FOODSIN
Cash & Bank,6.14,9.99,7.6,8.77,8.8,9.43,11.9,12.98,5.98,12.96,FOODSIN
No. of Equity Shares,1451040.0,1451040.0,1451040.0,1451040.0,1451040.0,1605942.0,1641942.0,16779420.0,50338260.0,50338260.0,FOODSIN
New Bonus Shares,,,,,,,,,,,FOODSIN
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,FOODSIN
