Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,14.6,14.61,14.61,14.61,14.61,14.6,14.32,14.32,14.07,14.07,SOTL
Reserves,423.13,496.55,556.39,550.34,577.21,646.56,727.99,837.28,854.51,1077.8,SOTL
Borrowings,68.96,77.79,95.66,64.43,41.55,22.25,5.99,3.83,1.31,0.48,SOTL
Other Liabilities,687.91,540.53,868.56,519.39,417.24,460.67,536.05,575.98,561.41,641.0,SOTL
Total,1194.6,1129.48,1535.22,1148.77,1050.61,1144.08,1284.35,1431.41,1431.3,1733.35,SOTL
Net Block,207.31,211.14,286.81,264.85,234.68,230.12,209.88,202.34,188.95,184.63,SOTL
Capital Work in Progress,1.66,21.46,4.98,1.23,3.25,1.22,2.11,2.55,7.86,1.05,SOTL
Investments,22.77,32.4,12.22,30.01,36.47,19.13,23.71,68.69,176.92,271.08,SOTL
Other Assets,962.86,864.48,1231.21,852.68,776.21,893.61,1048.65,1157.83,1057.57,1276.59,SOTL
Total,1194.6,1129.48,1535.22,1148.77,1050.61,1144.08,1284.35,1431.41,1431.3,1733.35,SOTL
Receivables,440.28,450.35,528.45,466.65,387.45,422.68,539.08,579.06,509.33,545.05,SOTL
Inventory,434.13,320.72,622.62,303.71,312.2,405.89,415.05,437.22,448.76,590.94,SOTL
Cash & Bank,29.11,29.57,20.04,17.9,16.45,12.68,25.29,67.87,27.26,56.91,SOTL
No. of Equity Shares,14609183.0,14609183.0,14609200.0,14609183.0,14609183.0,14602083.0,14322083.0,14322083.0,14071083.0,14071083.0,SOTL
New Bonus Shares,,,,,,,,,,,SOTL
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,SOTL
