Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,14.77,MAHASTEEL
Reserves,72.89,74.7,77.67,79.15,63.9,47.12,49.73,55.88,59.22,70.74,MAHASTEEL
Borrowings,56.12,68.36,56.82,69.67,71.44,94.03,71.02,71.37,51.58,56.3,MAHASTEEL
Other Liabilities,73.64,61.71,55.98,56.83,61.55,51.96,92.83,92.71,83.24,78.91,MAHASTEEL
Total,216.22,218.34,204.04,219.22,210.46,206.68,227.15,233.53,207.61,220.72,MAHASTEEL
Net Block,87.27,84.35,79.67,75.68,68.91,73.83,68.92,65.72,63.4,60.63,MAHASTEEL
Capital Work in Progress,,0.94,0.07,0.2,2.38,,,,,,MAHASTEEL
Investments,2.4,5.22,5.22,15.22,29.63,27.56,27.51,27.51,27.51,27.51,MAHASTEEL
Other Assets,126.55,127.83,119.08,128.12,109.54,105.29,130.72,140.3,116.7,132.58,MAHASTEEL
Total,216.22,218.34,204.04,219.22,210.46,206.68,227.15,233.53,207.61,220.72,MAHASTEEL
Receivables,30.25,24.91,26.05,38.33,42.22,26.88,23.7,17.28,16.88,20.03,MAHASTEEL
Inventory,63.54,68.28,47.45,47.54,37.01,40.36,61.0,83.74,63.26,71.98,MAHASTEEL
Cash & Bank,3.95,3.74,4.54,7.24,6.02,4.24,5.1,4.39,3.06,4.36,MAHASTEEL
No. of Equity Shares,13576000.0,13576000.0,13570400.0,13570400.0,13570400.0,13570400.0,13570400.0,13570400.0,13570400.0,14770400.0,MAHASTEEL
New Bonus Shares,,,,,,,,,,,MAHASTEEL
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,MAHASTEEL
