Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2011-03-31 00:00:00,2012-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,0.88,0.88,0.88,7.32,7.32,7.32,14.63,ZODIAC
Reserves,,,,0.07,0.14,0.69,10.06,13.16,16.16,13.34,ZODIAC
Borrowings,,,,1.98,2.08,3.68,0.78,4.11,5.8,12.53,ZODIAC
Other Liabilities,,,,0.21,1.28,2.61,2.66,3.85,13.95,14.94,ZODIAC
Total,,,,3.14,4.38,7.86,20.82,28.44,43.23,55.44,ZODIAC
Net Block,,,,0.07,0.23,0.48,0.68,0.47,0.58,1.41,ZODIAC
Capital Work in Progress,,,,,,,,,,,ZODIAC
Investments,,,,,,,,,,,ZODIAC
Other Assets,,,,3.07,4.15,7.38,20.14,27.97,42.65,54.03,ZODIAC
Total,,,,3.14,4.38,7.86,20.82,28.44,43.23,55.44,ZODIAC
Receivables,,,,1.52,2.66,4.92,10.53,17.63,25.34,23.49,ZODIAC
Inventory,,,,0.65,0.66,1.63,4.78,6.64,11.2,18.54,ZODIAC
Cash & Bank,,,,0.39,0.14,0.34,2.52,0.49,0.18,0.27,ZODIAC
No. of Equity Shares,,,,883360.0,883360.0,883360.0,7316720.0,7316720.0,7316720.0,14633440.0,ZODIAC
New Bonus Shares,,,,,,,,,,,ZODIAC
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,ZODIAC
