Report Date,Unnamed: 1,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,5.14,30.89,37.24,37.92,38.0,38.08,38.91,40.35,40.35,FLFL
Reserves,,-0.34,1260.43,1532.48,1585.32,1249.88,1355.8,1608.74,1572.58,697.78,FLFL
Borrowings,,,1355.78,1244.4,1140.54,681.75,722.5,860.86,2733.3,2906.47,FLFL
Other Liabilities,,0.01,1293.23,1134.75,1217.77,1361.38,1374.72,2124.72,2711.3,2427.37,FLFL
Total,,4.81,3940.33,3948.87,3981.55,3331.01,3491.1,4633.23,7057.53,6071.97,FLFL
Net Block,,,1149.86,1301.9,1242.77,711.92,900.32,1228.53,2498.05,2168.02,FLFL
Capital Work in Progress,,,189.54,172.12,186.23,189.82,290.21,157.81,178.47,60.83,FLFL
Investments,,,378.53,343.69,375.43,48.28,50.18,183.62,538.04,537.99,FLFL
Other Assets,,4.81,2222.4,2131.16,2177.12,2380.99,2250.39,3063.27,3842.97,3305.13,FLFL
Total,,4.81,3940.33,3948.87,3981.55,3331.01,3491.1,4633.23,7057.53,6071.97,FLFL
Receivables,,,263.2,269.23,241.85,205.82,162.27,194.35,168.69,213.82,FLFL
Inventory,,,1023.97,1173.17,1305.0,1418.02,1452.16,1976.6,2401.55,1877.5,FLFL
Cash & Bank,,0.17,271.08,59.66,14.62,29.8,44.26,99.85,22.28,45.87,FLFL
No. of Equity Shares,,25731399.0,154473200.0,186209031.0,189612458.0,190013456.0,190413837.0,194568077.0,201774874.0,201774874.0,FLFL
New Bonus Shares,,,,,,,,,,,FLFL
Face value,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,FLFL
