Report Date,Unnamed: 1,Unnamed: 2,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,,82.21,89.13,121.05,111.89,106.67,126.17,149.15,139.82,AARTISURF
Expenses,,,76.07,80.61,110.97,99.92,95.07,114.28,137.52,132.24,AARTISURF
Other Income,,,0.02,0.16,0.02,0.01,0.01,0.01,0.03,,AARTISURF
Depreciation,,,2.73,2.72,2.79,2.87,3.16,3.39,3.42,3.48,AARTISURF
Interest,,,2.86,2.14,2.75,3.26,2.78,1.66,2.53,2.82,AARTISURF
Profit before tax,,,0.57,3.82,4.56,5.85,5.67,6.85,5.71,1.28,AARTISURF
Tax,,,-0.22,0.48,,-0.75,0.88,1.15,1.19,0.45,AARTISURF
Net profit,,,0.79,3.34,4.56,6.59,4.79,5.7,4.52,0.83,AARTISURF
Operating Profit,,,6.14,8.52,10.08,11.97,11.6,11.89,11.63,7.58,AARTISURF
