Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,858.88,1063.95,1722.36,2150.77,2112.03,3023.74,SHYAMMETL
Raw Material Cost,,,,,620.69,709.24,1117.05,1282.08,1398.89,1831.73,SHYAMMETL
Change in Inventory,,,,,-31.42,12.86,30.95,3.54,68.22,-38.41,SHYAMMETL
Power and Fuel,,,,,15.17,13.48,29.97,30.48,43.6,32.3,SHYAMMETL
Other Mfr. Exp,,,,,58.77,78.54,110.12,155.72,191.01,193.34,SHYAMMETL
Employee Cost,,,,,30.3,38.23,62.53,80.44,91.84,101.89,SHYAMMETL
Selling and admin,,,,,19.21,83.85,13.84,16.2,118.54,150.15,SHYAMMETL
Other Expenses,,,,,33.11,30.13,122.68,156.99,23.71,8.29,SHYAMMETL
Other Income,,,,,6.94,37.51,30.3,21.78,4.02,50.22,SHYAMMETL
Depreciation,,,,,119.3,94.59,98.96,92.79,159.45,149.66,SHYAMMETL
Interest,,,,,32.63,25.49,25.43,37.74,56.75,38.72,SHYAMMETL
Profit before tax,,,,,-94.78,40.77,203.03,323.65,100.48,529.47,SHYAMMETL
Tax,,,,,-32.57,-10.27,-78.82,38.4,-4.87,90.57,SHYAMMETL
Net profit,,,,,-62.21,51.04,281.84,285.24,105.35,438.9,SHYAMMETL
