Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,1059.13,1366.78,1519.65,1466.09,1870.0,2264.31,783.05,IRCTC
Raw Material Cost,,,,239.46,230.3,210.86,252.82,124.26,138.7,45.48,IRCTC
Change in Inventory,,,,-0.04,-2.53,-0.63,0.4,0.15,0.7,-2.42,IRCTC
Power and Fuel,,,,13.64,14.38,10.19,10.94,14.4,14.4,5.6,IRCTC
Other Mfr. Exp,,,,404.13,688.55,730.22,619.86,818.07,856.26,197.48,IRCTC
Employee Cost,,,,175.0,164.64,163.88,192.27,195.21,244.22,206.67,IRCTC
Selling and admin,,,,39.01,48.31,83.17,106.71,276.27,296.43,91.54,IRCTC
Other Expenses,,,,35.78,27.7,7.15,10.3,58.58,12.33,43.54,IRCTC
Other Income,,,,82.07,138.95,66.55,98.69,126.19,76.88,125.0,IRCTC
Depreciation,,,,20.42,20.54,22.41,23.66,28.64,40.21,46.28,IRCTC
Interest,,,,,0.12,2.62,2.99,2.35,9.76,8.15,IRCTC
Profit before tax,,,,213.72,308.66,355.07,345.63,478.56,729.58,260.89,IRCTC
Tax,,,,83.09,120.03,125.99,125.02,169.99,216.48,70.99,IRCTC
Net profit,,,,130.63,188.63,229.08,220.62,308.56,513.11,189.9,IRCTC
