Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,571.51,1852.63,158.26,189.55,186.39,232.26,335.07,499.76,579.43,576.0,CGCL
Raw Material Cost,422.47,1782.91,,,,,,,,,CGCL
Change in Inventory,-60.02,53.94,,,,,,,,,CGCL
Power and Fuel,0.13,0.2,0.32,0.39,0.48,0.64,0.59,0.6,0.64,0.52,CGCL
Other Mfr. Exp,,0.11,0.14,0.31,0.18,0.42,1.94,3.09,6.24,,CGCL
Employee Cost,18.0,17.35,22.73,26.13,32.62,53.01,70.59,97.95,98.05,83.2,CGCL
Selling and admin,6.81,8.54,10.24,7.97,13.72,28.4,27.12,31.08,26.28,25.16,CGCL
Other Expenses,4.09,1.51,6.01,13.2,72.24,18.37,20.29,19.08,36.59,57.17,CGCL
Other Income,0.65,13.05,7.92,2.61,0.14,5.99,1.83,4.34,2.43,0.04,CGCL
Depreciation,1.0,0.91,2.53,3.59,3.32,4.19,5.7,4.88,8.47,8.53,CGCL
Interest,0.26,0.07,1.61,4.7,11.85,38.02,95.17,170.05,215.97,208.52,CGCL
Profit before tax,59.38,108.02,122.6,135.87,52.12,95.2,115.5,177.37,189.62,192.94,CGCL
Tax,19.11,33.75,40.83,50.69,10.92,37.41,43.15,48.7,53.89,49.42,CGCL
Net profit,40.27,74.27,81.76,85.18,41.2,57.78,72.34,128.68,135.73,143.52,CGCL
