Report Date,Unnamed: 1,2011-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,107.21,227.61,273.38,287.79,288.31,342.77,501.5,528.88,810.89,ANURAS
Raw Material Cost,,75.0,119.77,137.99,130.77,149.68,201.52,263.5,296.26,470.41,ANURAS
Change in Inventory,,14.88,-1.39,4.4,,26.26,48.49,6.37,85.33,130.71,ANURAS
Power and Fuel,,8.3,17.38,18.33,20.1,25.29,28.38,,,,ANURAS
Other Mfr. Exp,,1.84,4.96,7.68,9.31,7.08,5.79,105.04,131.64,204.62,ANURAS
Employee Cost,,3.92,6.38,7.84,14.1,14.67,19.12,20.87,23.72,35.47,ANURAS
Selling and admin,,2.21,5.9,9.89,15.25,12.3,15.13,24.51,26.2,34.88,ANURAS
Other Expenses,,10.06,22.88,27.05,18.64,35.22,47.96,0.48,1.92,3.03,ANURAS
Other Income,,,1.6,4.78,7.88,10.91,6.42,19.09,10.88,26.43,ANURAS
Depreciation,,2.83,4.52,9.56,12.56,15.38,17.56,22.51,28.71,51.65,ANURAS
Interest,,7.5,21.94,13.96,21.26,21.12,14.56,24.31,45.26,68.54,ANURAS
Profit before tax,,10.43,24.09,50.26,53.68,44.74,47.66,65.74,71.38,99.43,ANURAS
Tax,,3.13,5.64,13.93,11.03,9.96,9.01,15.5,18.39,29.5,ANURAS
Net profit,,7.29,18.45,36.33,42.65,34.79,38.65,50.23,52.99,69.92,ANURAS
