Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,447.46,554.27,696.13,771.73,630.95,640.79,729.68,1127.92,1028.87,954.26,VINATIORGA
Raw Material Cost,273.81,339.85,417.96,455.89,295.56,306.13,370.51,528.59,431.5,415.86,VINATIORGA
Change in Inventory,6.14,4.73,-0.85,-0.65,-0.75,5.58,-7.05,3.49,2.79,28.2,VINATIORGA
Power and Fuel,25.06,30.88,36.08,31.33,31.32,36.95,47.91,56.36,52.59,63.38,VINATIORGA
Other Mfr. Exp,17.89,16.15,22.45,27.11,33.24,30.87,43.11,50.19,50.42,52.66,VINATIORGA
Employee Cost,18.35,22.62,27.47,31.94,35.99,41.97,49.08,54.31,64.39,72.78,VINATIORGA
Selling and admin,17.33,22.88,26.15,23.41,16.65,6.78,8.21,9.56,10.52,13.03,VINATIORGA
Other Expenses,6.14,6.28,12.28,9.3,10.59,5.83,5.52,7.39,7.35,11.49,VINATIORGA
Other Income,2.8,3.76,9.17,8.82,6.09,12.48,30.62,29.8,44.99,25.86,VINATIORGA
Depreciation,7.03,9.95,15.32,17.66,18.52,21.61,23.36,27.39,33.16,42.91,VINATIORGA
Interest,9.19,11.54,18.15,9.76,7.86,2.75,2.17,2.18,2.04,0.95,VINATIORGA
Profit before tax,81.6,102.61,128.59,173.5,186.56,205.96,203.38,425.24,424.68,335.26,VINATIORGA
Tax,26.79,33.94,42.43,57.7,54.99,65.69,59.5,142.75,90.84,65.91,VINATIORGA
Net profit,54.81,68.66,86.15,115.79,131.57,140.28,143.88,282.49,333.83,269.34,VINATIORGA
