Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,1331.67,595.21,501.23,503.2,979.54,923.36,911.27,955.46,835.74,796.36,ELECON
Raw Material Cost,777.13,278.41,195.13,215.63,456.96,359.26,378.64,448.61,372.32,319.64,ELECON
Change in Inventory,-7.07,-23.24,-26.97,-12.89,24.72,-23.27,-23.07,24.22,-6.47,-43.59,ELECON
Power and Fuel,4.83,8.02,4.73,6.54,11.71,10.58,9.73,9.75,8.7,7.83,ELECON
Other Mfr. Exp,105.47,59.91,62.91,57.63,189.11,167.44,218.04,222.22,155.57,87.58,ELECON
Employee Cost,73.36,54.82,43.55,37.26,83.17,85.76,66.46,73.09,71.57,64.08,ELECON
Selling and admin,124.29,62.84,64.87,58.33,101.04,104.49,89.26,90.39,101.22,82.15,ELECON
Other Expenses,32.55,3.7,2.99,8.42,7.84,6.27,15.79,21.36,13.16,46.61,ELECON
Other Income,7.52,-15.57,17.55,22.68,27.34,7.58,10.56,22.03,8.49,10.52,ELECON
Depreciation,42.38,41.99,45.42,51.58,55.67,48.14,48.07,43.58,43.69,42.31,ELECON
Interest,62.27,31.65,33.25,29.95,70.59,73.27,67.68,64.86,70.25,54.8,ELECON
Profit before tax,109.84,15.06,38.96,47.65,55.51,52.46,5.09,27.85,1.28,58.29,ELECON
Tax,40.24,6.55,11.53,14.46,19.0,31.41,-3.0,15.78,-71.14,22.02,ELECON
Net profit,69.6,8.53,27.43,33.19,36.51,21.06,8.08,12.07,72.42,36.26,ELECON
