Report Date,Unnamed: 1,2011-03-31 00:00:00,2012-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,1.46,1.5,1.5,1.5,1.5,10.24,10.24,10.24,10.24,HINDCON
Reserves,,7.23,9.47,10.44,11.3,13.35,15.47,18.29,20.6,24.1,HINDCON
Borrowings,,1.52,2.5,8.92,5.28,5.02,0.82,0.18,0.3,0.99,HINDCON
Other Liabilities,,2.08,2.82,4.32,6.15,5.74,6.6,5.69,6.32,6.72,HINDCON
Total,,12.29,16.29,25.18,24.23,25.61,33.13,34.4,37.46,42.05,HINDCON
Net Block,,0.84,1.01,0.93,0.92,1.11,1.08,1.0,1.13,1.41,HINDCON
Capital Work in Progress,,,,,,,,,,,HINDCON
Investments,,0.39,0.49,0.67,1.05,1.2,3.24,4.08,3.78,3.55,HINDCON
Other Assets,,11.06,14.79,23.58,22.26,23.3,28.81,29.32,32.55,37.09,HINDCON
Total,,12.29,16.29,25.18,24.23,25.61,33.13,34.4,37.46,42.05,HINDCON
Receivables,,7.88,11.98,17.98,18.13,17.68,18.31,19.41,19.83,19.21,HINDCON
Inventory,,1.95,1.65,1.31,1.17,0.84,2.86,2.71,2.11,2.03,HINDCON
Cash & Bank,,0.19,0.19,1.69,0.65,0.95,4.28,1.2,2.93,9.99,HINDCON
No. of Equity Shares,,1455625.0,1495625.0,1495625.0,1495625.0,1495625.0,10238125.0,10238125.0,10238125.0,10238125.0,HINDCON
New Bonus Shares,,,,,,,,,,,HINDCON
Face value,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,HINDCON
