Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,14.73,14.73,132.77,132.77,132.77,METROBRAND
Reserves,,,,,,441.27,546.65,531.78,647.25,671.88,METROBRAND
Borrowings,,,,,,,,,536.43,565.5,METROBRAND
Other Liabilities,,,,,,150.46,164.26,219.36,189.79,241.71,METROBRAND
Total,,,,,,606.46,725.64,883.91,1506.24,1611.86,METROBRAND
Net Block,,,,,,170.24,183.42,221.83,704.9,722.03,METROBRAND
Capital Work in Progress,,,,,,4.32,6.01,4.07,13.03,4.54,METROBRAND
Investments,,,,,,95.62,183.99,207.81,345.5,397.41,METROBRAND
Other Assets,,,,,,336.28,352.22,450.2,442.81,487.88,METROBRAND
Total,,,,,,606.46,725.64,883.91,1506.24,1611.86,METROBRAND
Receivables,,,,,,4.63,6.35,10.21,8.09,22.49,METROBRAND
Inventory,,,,,,249.84,259.82,330.74,320.0,284.46,METROBRAND
Cash & Bank,,,,,,24.87,15.2,11.64,10.44,83.38,METROBRAND
No. of Equity Shares,,,,,,14727530.0,14727530.0,132767145.0,132767145.0,265534290.0,METROBRAND
New Bonus Shares,,,,,,,,,,,METROBRAND
Face value,,,,,,10.0,10.0,10.0,10.0,5.0,METROBRAND
