Report Date,Unnamed: 1,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,588.41,376.55,333.42,330.23,493.48,523.62,640.94,669.86,858.96,STOVEKRAFT
Raw Material Cost,,,,,262.23,350.34,361.45,450.14,452.0,567.61,STOVEKRAFT
Change in Inventory,,,,,17.87,11.74,7.9,11.48,10.13,9.37,STOVEKRAFT
Power and Fuel,,,,,5.08,5.35,5.42,5.69,6.99,8.98,STOVEKRAFT
Other Mfr. Exp,,,,,11.06,10.37,3.72,11.98,11.72,21.66,STOVEKRAFT
Employee Cost,,,,,36.28,51.63,59.09,69.8,82.01,80.62,STOVEKRAFT
Selling and admin,,,,,49.34,80.55,61.92,75.7,83.55,68.38,STOVEKRAFT
Other Expenses,,596.2,421.57,337.0,4.58,2.95,29.61,9.02,9.64,7.6,STOVEKRAFT
Other Income,,10.28,,,1.49,3.1,5.53,1.92,1.81,1.18,STOVEKRAFT
Depreciation,,,8.49,9.35,10.23,11.48,11.68,12.2,12.14,14.24,STOVEKRAFT
Interest,,,14.14,15.23,14.85,15.01,16.94,17.88,20.9,19.24,STOVEKRAFT
Profit before tax,,2.49,-67.65,-28.16,-44.06,-19.36,-12.78,1.93,2.85,81.18,STOVEKRAFT
Tax,,1.48,4.89,,,-0.09,,0.03,,,STOVEKRAFT
Net profit,,1.01,-72.55,-28.16,-44.07,-19.27,-12.78,1.9,2.84,81.18,STOVEKRAFT
