Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,2020-09-30 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,,,,,,,130.31,150.39,163.48,APTUS
Expenses,,,,,,,,20.26,28.31,32.56,APTUS
Other Income,,,,,,,,3.05,3.63,5.93,APTUS
Depreciation,,,,,,,,1.44,1.44,1.54,APTUS
Interest,,,,,,,,44.1,47.14,47.5,APTUS
Profit before tax,,,,,,,,67.56,77.13,87.81,APTUS
Tax,,,,,,,,14.34,16.99,18.68,APTUS
Net profit,,,,,,,,53.24,60.13,69.14,APTUS
Operating Profit,,,,,,,,110.05,122.08,130.92,APTUS
