Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,13.24,13.24,13.24,13.24,13.24,13.24,13.24,13.24,13.24,13.24,PTL
Reserves,48.98,58.12,67.99,75.07,667.73,422.62,458.81,474.65,433.88,582.11,PTL
Borrowings,75.69,75.53,59.21,48.79,,,,,0.12,48.13,PTL
Other Liabilities,55.68,56.57,76.11,80.64,96.37,194.63,198.35,202.87,201.1,214.91,PTL
Total,193.59,203.46,216.55,217.74,777.34,630.49,670.4,690.76,648.34,858.39,PTL
Net Block,12.49,16.8,16.13,15.51,593.25,599.31,594.78,593.58,600.14,609.69,PTL
Capital Work in Progress,1.0,1.0,1.0,1.43,2.67,,,2.99,4.19,0.17,PTL
Investments,158.26,158.31,158.31,158.41,160.01,,42.94,76.52,27.28,185.51,PTL
Other Assets,21.84,27.35,41.11,42.39,21.41,31.18,32.68,17.67,16.73,63.02,PTL
Total,193.59,203.46,216.55,217.74,777.34,630.49,670.4,690.76,648.34,858.39,PTL
Receivables,,0.35,0.15,0.15,0.01,,,,,,PTL
Inventory,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,PTL
Cash & Bank,5.43,3.41,3.66,4.34,2.52,16.52,18.19,1.61,4.4,45.15,PTL
No. of Equity Shares,66188500.0,66188500.0,66188500.0,66188500.0,66188500.0,66188500.0,66188500.0,66188500.0,66188500.0,66188500.0,PTL
New Bonus Shares,,,,,,,,,,,PTL
Face value,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,PTL
