Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,16.04,16.04,16.04,16.04,SWSOLAR
Reserves,,,,,,,219.0,422.98,686.36,495.94,SWSOLAR
Borrowings,,,,,,,66.52,1174.62,606.47,392.21,SWSOLAR
Other Liabilities,,,,,,,3545.21,2961.55,2607.24,2872.1,SWSOLAR
Total,,,,,,,3846.77,4575.19,3916.11,3776.29,SWSOLAR
Net Block,,,,,,,10.47,12.25,28.22,33.51,SWSOLAR
Capital Work in Progress,,,,,,,0.08,,2.74,0.33,SWSOLAR
Investments,,,,,,,3.69,5.63,4.14,371.21,SWSOLAR
Other Assets,,,,,,,3832.53,4557.31,3881.01,3371.24,SWSOLAR
Total,,,,,,,3846.77,4575.19,3916.11,3776.29,SWSOLAR
Receivables,,,,,,,2206.36,1725.43,1539.94,769.99,SWSOLAR
Inventory,,,,,,,18.56,12.03,14.51,3.09,SWSOLAR
Cash & Bank,,,,,,,39.75,314.77,192.59,168.54,SWSOLAR
No. of Equity Shares,,,,,,,16036000.0,160360000.0,160360000.0,160360000.0,SWSOLAR
New Bonus Shares,,,,,,,,,,,SWSOLAR
Face value,,,,,,,10.0,1.0,1.0,1.0,SWSOLAR
