Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,0.05,6.55,6.55,6.55,6.55,6.55,6.55,6.55,MANAKALUCO
Reserves,,,107.57,100.81,95.77,91.19,92.48,99.76,105.25,102.16,MANAKALUCO
Borrowings,,,78.61,101.23,95.33,89.42,86.27,65.91,74.26,109.88,MANAKALUCO
Other Liabilities,,,75.72,33.95,31.19,34.51,36.55,81.12,78.29,103.8,MANAKALUCO
Total,,,261.95,242.54,228.84,221.67,221.85,253.34,264.35,322.39,MANAKALUCO
Net Block,,,95.11,98.0,92.88,89.03,83.97,79.0,95.88,93.1,MANAKALUCO
Capital Work in Progress,,,11.88,5.94,5.92,6.29,10.84,18.33,7.8,7.9,MANAKALUCO
Investments,,,,,,,,,,,MANAKALUCO
Other Assets,,,154.96,138.6,130.04,126.35,127.04,156.01,160.67,221.39,MANAKALUCO
Total,,,261.95,242.54,228.84,221.67,221.85,253.34,264.35,322.39,MANAKALUCO
Receivables,,,55.57,27.79,38.55,18.38,17.24,28.91,22.77,41.24,MANAKALUCO
Inventory,,,56.01,73.31,60.84,70.2,74.71,72.89,82.48,117.6,MANAKALUCO
Cash & Bank,,,0.51,4.95,0.05,0.27,3.37,8.56,8.55,13.62,MANAKALUCO
No. of Equity Shares,,,500000.0,65534050.0,65534050.0,65534050.0,65534050.0,65534050.0,65534050.0,65534050.0,MANAKALUCO
New Bonus Shares,,,,,,,,,,,MANAKALUCO
Face value,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MANAKALUCO
