Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Cash from Operating Activity,,,,,,,-0.01,144.21,244.59,417.8,KPITTECH
Cash from Investing Activity,,,,,,,,-140.27,-54.12,-364.29,KPITTECH
Cash from Financing Activity,,,,,,,0.1,34.96,-161.36,-77.79,KPITTECH
Net Cash Flow,,,,,,,0.1,38.9,29.11,-24.28,KPITTECH
