Report Date,Unnamed: 1,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,65.34,55.73,51.86,45.67,61.54,64.81,71.48,57.21,61.24,CHEMCON
Expenses,,45.79,42.33,38.28,31.72,38.21,41.98,50.66,39.34,42.31,CHEMCON
Other Income,,0.74,0.78,1.92,0.34,0.14,1.22,3.13,1.94,2.25,CHEMCON
Depreciation,,1.16,1.07,1.33,1.32,1.39,1.41,1.95,1.52,1.5,CHEMCON
Interest,,1.18,0.91,1.15,1.12,1.18,0.63,0.7,0.23,0.15,CHEMCON
Profit before tax,,17.95,12.2,13.02,11.85,20.9,22.01,21.3,18.06,19.53,CHEMCON
Tax,,4.33,2.91,3.22,3.02,5.32,5.54,5.8,4.65,4.96,CHEMCON
Net profit,,13.62,9.28,9.79,8.84,15.58,16.48,15.5,13.41,14.57,CHEMCON
Operating Profit,,19.55,13.4,13.58,13.95,23.33,22.83,20.82,17.87,18.93,CHEMCON
