Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,0.05,10.01,10.01,10.01,20.02,20.02,AVADHSUGAR
Reserves,,,,,-0.02,303.51,380.97,498.51,571.76,645.74,AVADHSUGAR
Borrowings,,,,,,1363.35,1298.77,1525.49,1595.77,1372.56,AVADHSUGAR
Other Liabilities,,,,,,567.58,431.0,574.73,671.53,610.54,AVADHSUGAR
Total,,,,,0.03,2244.45,2120.75,2608.74,2859.08,2648.86,AVADHSUGAR
Net Block,,,,,,987.6,983.1,974.4,966.5,1084.88,AVADHSUGAR
Capital Work in Progress,,,,,,1.37,9.67,4.4,68.71,13.96,AVADHSUGAR
Investments,,,,,,20.97,12.74,12.26,9.9,15.19,AVADHSUGAR
Other Assets,,,,,0.03,1234.51,1115.24,1617.68,1813.97,1534.83,AVADHSUGAR
Total,,,,,0.03,2244.45,2120.75,2608.74,2859.08,2648.86,AVADHSUGAR
Receivables,,,,,,65.47,82.85,111.13,108.94,55.08,AVADHSUGAR
Inventory,,,,,,1102.55,1008.69,1426.64,1485.45,1350.65,AVADHSUGAR
Cash & Bank,,,,,0.04,31.24,5.31,5.13,7.39,6.94,AVADHSUGAR
No. of Equity Shares,,,,,50000.0,10009210.0,10009210.0,10009210.0,20018420.0,20018420.0,AVADHSUGAR
New Bonus Shares,,,,,,,,,,,AVADHSUGAR
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0,AVADHSUGAR
