Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,3.07,3.07,3.07,7.68,7.68,SIGACHI
Reserves,,,,,,17.29,24.08,43.47,58.88,87.21,SIGACHI
Borrowings,,,,,,27.58,28.88,23.57,28.44,20.78,SIGACHI
Other Liabilities,,,,,,12.0,15.37,20.68,14.32,18.1,SIGACHI
Total,,,,,,59.94,71.4,90.79,109.32,133.77,SIGACHI
Net Block,,,,,,22.58,25.89,28.51,31.59,37.96,SIGACHI
Capital Work in Progress,,,,,,0.95,0.69,2.29,3.13,3.74,SIGACHI
Investments,,,,,,0.1,0.19,0.13,0.13,0.28,SIGACHI
Other Assets,,,,,,36.31,44.63,59.86,74.47,91.79,SIGACHI
Total,,,,,,59.94,71.4,90.79,109.32,133.77,SIGACHI
Receivables,,,,,,13.44,21.94,25.29,30.05,42.05,SIGACHI
Inventory,,,,,,14.46,14.43,21.33,26.01,15.39,SIGACHI
Cash & Bank,,,,,,3.06,2.35,2.01,10.11,17.76,SIGACHI
No. of Equity Shares,,,,,,3073000.0,3073000.0,3073000.0,7682500.0,7682500.0,SIGACHI
New Bonus Shares,,,,,,,,,,,SIGACHI
Face value,,,,,,10.0,10.0,10.0,10.0,10.0,SIGACHI
