Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,1105.41,1056.29,1108.07,1375.85,1468.74,1639.29,1857.08,3492.99,3524.72,3700.64,MINDAIND
Raw Material Cost,746.89,718.15,762.55,937.07,968.21,1053.98,1178.32,2312.25,2310.78,2459.87,MINDAIND
Change in Inventory,-8.74,-3.74,7.12,3.9,3.35,-1.78,9.06,14.11,20.63,38.51,MINDAIND
Power and Fuel,22.63,22.73,27.16,29.94,31.7,34.92,35.97,73.72,71.75,81.56,MINDAIND
Other Mfr. Exp,43.94,36.65,40.83,64.04,66.66,76.52,97.32,149.6,143.52,132.21,MINDAIND
Employee Cost,130.32,124.97,139.85,162.54,186.56,216.51,254.5,415.79,475.47,484.35,MINDAIND
Selling and admin,47.53,47.03,55.76,56.98,59.07,76.82,88.31,180.34,176.09,181.57,MINDAIND
Other Expenses,80.07,23.6,12.81,15.64,20.42,23.28,23.57,42.21,71.6,59.0,MINDAIND
Other Income,65.0,15.85,14.2,22.54,22.38,27.9,43.88,50.48,21.29,43.23,MINDAIND
Depreciation,38.48,40.93,41.73,53.71,52.78,51.12,52.52,102.2,156.1,177.85,MINDAIND
Interest,18.4,15.83,15.03,12.68,10.22,14.0,6.82,29.61,49.02,38.53,MINDAIND
Profit before tax,33.41,38.51,33.67,69.69,98.85,118.26,172.69,251.86,112.31,167.44,MINDAIND
Tax,,8.2,6.55,16.49,19.47,24.3,39.77,64.05,23.14,48.46,MINDAIND
Net profit,33.41,30.31,27.12,53.2,79.38,93.96,132.92,187.81,89.17,118.98,MINDAIND
