Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,75.68,71.89,76.91,79.18,81.4,83.26,87.06,88.78,88.95,89.09,EDELWEISS
Reserves,1274.95,1118.86,1301.67,1390.88,1520.46,1632.16,3267.01,3262.21,3365.6,4036.73,EDELWEISS
Borrowings,2410.38,925.4,849.06,4866.65,840.96,821.23,27.65,366.06,146.66,838.02,EDELWEISS
Other Liabilities,92.88,42.92,47.28,172.5,135.1,131.1,150.19,79.62,78.08,1017.1,EDELWEISS
Total,3853.89,2159.07,2274.92,6509.21,2577.92,2667.75,3531.91,3796.67,3679.29,5980.94,EDELWEISS
Net Block,5.69,6.48,5.95,5.17,4.46,6.58,6.65,4.6,2.52,0.72,EDELWEISS
Capital Work in Progress,,,,,2.48,3.78,1.19,1.0,0.92,,EDELWEISS
Investments,1464.48,1429.8,1363.96,1473.24,1556.67,1663.34,2735.52,3339.25,3467.29,4381.73,EDELWEISS
Other Assets,2383.72,722.79,905.01,5030.8,1014.31,994.05,788.55,451.82,208.56,1598.49,EDELWEISS
Total,3853.89,2159.07,2274.92,6509.21,2577.92,2667.75,3531.91,3796.67,3679.29,5980.94,EDELWEISS
Receivables,20.48,12.29,21.37,26.57,93.32,52.2,57.51,52.76,31.68,19.1,EDELWEISS
Inventory,,,,,,,,,,,EDELWEISS
Cash & Bank,1.48,19.39,14.63,83.74,21.53,31.58,15.16,17.0,2.32,149.0,EDELWEISS
No. of Equity Shares,756799280.0,763842280.0,769045330.0,791752619.0,814036630.0,832569089.0,870602147.0,887772784.0,889510000.0,890901297.0,EDELWEISS
New Bonus Shares,,,,,,,,,,,EDELWEISS
Face value,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,EDELWEISS
