Report Date,2010-03-31 00:00:00,2011-03-31 00:00:00,2012-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,1.75,2.97,6.47,13.71,13.71,13.71,20.76,20.76,20.76,20.76,APOLLO
Reserves,1.9,3.03,5.65,21.09,31.09,49.91,234.82,261.17,275.16,284.44,APOLLO
Borrowings,6.36,11.29,16.22,58.25,70.83,87.8,86.65,108.08,83.3,115.67,APOLLO
Other Liabilities,4.19,5.85,2.97,41.67,87.33,94.44,121.23,60.64,85.9,109.15,APOLLO
Total,14.2,23.14,31.31,134.72,202.96,245.86,463.46,450.65,465.12,530.02,APOLLO
Net Block,1.11,1.12,3.58,22.88,21.14,29.98,29.04,41.81,50.34,48.8,APOLLO
Capital Work in Progress,,,2.7,1.47,10.12,12.86,28.69,28.35,36.52,49.94,APOLLO
Investments,,,,,,,,,,1.33,APOLLO
Other Assets,13.09,22.02,25.03,110.37,171.7,203.02,405.73,380.49,378.26,429.95,APOLLO
Total,14.2,23.14,31.31,134.72,202.96,245.86,463.46,450.65,465.12,530.02,APOLLO
Receivables,7.5,12.44,11.77,61.23,86.34,71.46,114.71,169.32,135.48,169.5,APOLLO
Inventory,5.02,8.14,11.81,42.46,72.6,114.08,171.8,172.88,207.95,225.69,APOLLO
Cash & Bank,0.3,,,3.65,6.94,8.78,105.8,26.61,12.48,13.4,APOLLO
No. of Equity Shares,1750000.0,2970000.0,6465200.0,13711700.0,13711700.0,13711700.0,20763886.0,20758886.0,20758886.0,20763886.0,APOLLO
New Bonus Shares,,1220000.0,,,,,,,,,APOLLO
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,APOLLO
