Report Date,Unnamed: 1,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,3.0,4.02,4.94,5.76,40.29,67.89,67.89,67.89,67.89,CAPACITE
Reserves,,3.18,14.58,51.95,162.6,255.2,681.6,775.24,857.98,861.16,CAPACITE
Borrowings,,8.29,84.09,109.34,173.74,195.28,238.93,273.56,319.84,291.24,CAPACITE
Other Liabilities,,21.81,190.22,333.16,503.2,587.31,745.26,933.32,1118.02,1024.07,CAPACITE
Total,,36.28,292.91,499.39,845.3,1078.08,1733.68,2050.01,2363.73,2244.36,CAPACITE
Net Block,,5.77,83.83,165.51,229.04,325.67,409.91,540.57,658.94,664.42,CAPACITE
Capital Work in Progress,,,0.33,,8.33,6.73,0.06,4.26,4.83,6.0,CAPACITE
Investments,,1.37,6.43,6.44,1.44,0.59,19.67,12.78,11.61,5.76,CAPACITE
Other Assets,,29.14,202.32,327.44,606.49,745.09,1304.04,1492.4,1688.35,1568.18,CAPACITE
Total,,36.28,292.91,499.39,845.3,1078.08,1733.68,2050.01,2363.73,2244.36,CAPACITE
Receivables,,0.28,74.8,144.17,264.52,357.77,414.66,528.9,381.96,284.72,CAPACITE
Inventory,,5.2,38.06,99.8,200.5,170.41,215.56,91.06,104.12,100.45,CAPACITE
Cash & Bank,,15.1,52.4,36.69,36.12,49.58,323.72,193.06,262.84,156.21,CAPACITE
No. of Equity Shares,,3000000.0,4023890.0,4941921.0,5756383.0,40294681.0,67891497.0,67891497.0,67891497.0,67891497.0,CAPACITE
New Bonus Shares,,,,,,,,,,,CAPACITE
Face value,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,CAPACITE
