Report Date,Unnamed: 1,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Cash from Operating Activity,,,,,17.32,13.53,13.37,11.85,12.04,8.63,RPPL
Cash from Investing Activity,,,,,-7.2,-13.33,-3.2,-36.94,5.55,-24.78,RPPL
Cash from Financing Activity,,,,,-5.19,-7.84,-9.89,27.06,-9.16,6.15,RPPL
Net Cash Flow,,,,,4.93,-7.63,0.28,1.97,8.42,-10.0,RPPL
