Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,,11.82,11.82,11.82,TREJHARA
Reserves,,,,,,,272.93,257.03,259.37,263.11,TREJHARA
Borrowings,,,,,,,18.02,18.53,15.33,13.41,TREJHARA
Other Liabilities,,,,,,,5.34,15.85,23.52,22.24,TREJHARA
Total,,,,,,,296.29,303.23,310.04,310.58,TREJHARA
Net Block,,,,,,,2.89,2.16,1.49,0.71,TREJHARA
Capital Work in Progress,,,,,,,,,,,TREJHARA
Investments,,,,,,,77.16,77.16,162.97,162.97,TREJHARA
Other Assets,,,,,,,216.24,223.91,145.58,146.9,TREJHARA
Total,,,,,,,296.29,303.23,310.04,310.58,TREJHARA
Receivables,,,,,,,9.75,5.49,3.16,11.53,TREJHARA
Inventory,,,,,,,,,,,TREJHARA
Cash & Bank,,,,,,,0.02,0.35,0.22,0.07,TREJHARA
No. of Equity Shares,,,,,,,,11816298.0,11816298.0,11816298.0,TREJHARA
New Bonus Shares,,,,,,,,,,,TREJHARA
Face value,,,,,,,,10.0,10.0,10.0,TREJHARA
