Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,,,29.32,50.81,176.15,210.43,193.53,182.3,258.96,RAJMET
Expenses,,,,28.45,49.76,173.06,206.82,190.59,179.2,254.6,RAJMET
Other Income,,,,0.2,0.04,0.13,0.34,0.34,0.37,0.43,RAJMET
Depreciation,,,,0.07,0.17,0.14,0.26,0.27,0.25,0.26,RAJMET
Interest,,,,0.61,0.62,0.99,1.32,0.73,0.85,1.08,RAJMET
Profit before tax,,,,0.39,0.3,2.09,2.37,2.28,2.37,3.45,RAJMET
Tax,,,,0.09,0.15,0.63,0.54,0.65,0.8,1.18,RAJMET
Net profit,,,,0.29,0.14,1.46,1.83,1.64,1.58,2.27,RAJMET
Operating Profit,,,,0.87,1.05,3.09,3.61,2.94,3.1,4.36,RAJMET
