Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,14.64,14.64,14.64,14.64,14.64,SUPRIYA
Reserves,,,,,,31.25,40.02,79.15,134.43,253.95,SUPRIYA
Borrowings,,,,,,140.09,130.37,89.84,82.21,70.13,SUPRIYA
Other Liabilities,,,,,,55.36,60.36,69.43,104.88,106.75,SUPRIYA
Total,,,,,,241.34,245.39,253.06,336.16,445.47,SUPRIYA
Net Block,,,,,,88.78,91.01,84.68,98.57,100.04,SUPRIYA
Capital Work in Progress,,,,,,35.58,34.38,35.35,40.21,78.79,SUPRIYA
Investments,,,,,,0.1,0.12,0.05,0.05,0.05,SUPRIYA
Other Assets,,,,,,116.88,119.88,132.98,197.33,266.59,SUPRIYA
Total,,,,,,241.34,245.39,253.06,336.16,445.47,SUPRIYA
Receivables,,,,,,49.61,53.4,59.95,51.63,73.5,SUPRIYA
Inventory,,,,,,38.22,31.7,30.73,49.46,72.48,SUPRIYA
Cash & Bank,,,,,,5.58,2.74,1.73,74.71,92.29,SUPRIYA
No. of Equity Shares,,,,,,14636706.0,73183530.0,73183530.0,14636706.0,73183530.0,SUPRIYA
New Bonus Shares,,,,,,,,,,,SUPRIYA
Face value,,,,,,10.0,2.0,2.0,10.0,2.0,SUPRIYA
