Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,9.86,9.86,9.54,9.54,9.54,10.04,10.13,10.22,METROPOLIS
Reserves,,,254.2,296.34,233.23,258.5,354.49,405.37,502.26,698.7,METROPOLIS
Borrowings,,,16.15,9.9,3.65,,,17.34,53.54,84.97,METROPOLIS
Other Liabilities,,,32.97,34.74,94.96,170.26,76.27,94.89,122.37,139.55,METROPOLIS
Total,,,313.18,350.84,341.38,438.3,440.3,527.64,688.3,933.44,METROPOLIS
Net Block,,,82.93,83.89,92.03,152.38,157.02,162.9,215.78,251.29,METROPOLIS
Capital Work in Progress,,,,,,,,5.77,2.99,,METROPOLIS
Investments,,,147.94,174.84,120.26,142.92,98.01,135.09,129.78,130.61,METROPOLIS
Other Assets,,,82.31,92.11,129.09,143.0,185.27,223.88,339.75,551.54,METROPOLIS
Total,,,313.18,350.84,341.38,438.3,440.3,527.64,688.3,933.44,METROPOLIS
Receivables,,,30.41,41.73,47.92,62.58,81.81,118.27,124.4,122.66,METROPOLIS
Inventory,,,8.36,9.66,10.57,9.9,14.96,19.65,17.46,33.46,METROPOLIS
Cash & Bank,,,6.74,3.69,15.95,13.81,29.62,25.8,132.01,335.42,METROPOLIS
No. of Equity Shares,,,9864130.0,9864130.0,9543646.0,9543646.0,9543646.0,50178680.0,50630566.0,51116813.0,METROPOLIS
New Bonus Shares,,,,,,,,,,,METROPOLIS
Face value,,,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,METROPOLIS
