Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,,39.0,39.0,37.0,DALBHARAT
Reserves,,,,,,799.0,845.0,7527.0,7592.0,7223.0,DALBHARAT
Borrowings,,,,,,200.0,2.0,2.0,19.0,205.0,DALBHARAT
Other Liabilities,,,,,,6826.0,6899.0,114.0,63.0,71.0,DALBHARAT
Total,,,,,,7825.0,7746.0,7682.0,7713.0,7536.0,DALBHARAT
Net Block,,,,,,77.0,74.0,72.0,90.0,73.0,DALBHARAT
Capital Work in Progress,,,,,,,1.0,7.0,2.0,1.0,DALBHARAT
Investments,,,,,,7162.0,7066.0,7113.0,7042.0,6843.0,DALBHARAT
Other Assets,,,,,,586.0,605.0,490.0,579.0,619.0,DALBHARAT
Total,,,,,,7825.0,7746.0,7682.0,7713.0,7536.0,DALBHARAT
Receivables,,,,,,13.0,22.0,52.0,17.0,13.0,DALBHARAT
Inventory,,,,,,,,,,,DALBHARAT
Cash & Bank,,,,,,5.0,8.0,15.0,130.0,11.0,DALBHARAT
No. of Equity Shares,,,,,,,,192958553.0,192958553.0,187117513.0,DALBHARAT
New Bonus Shares,,,,,,,,,,,DALBHARAT
Face value,,,,,,2.0,2.0,2.0,2.0,2.0,DALBHARAT
