Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,2.97,4.46,4.51,4.66,5.19,5.19,5.19,5.19,5.34,5.34,ACRYSIL
Reserves,25.1,27.4,33.72,42.16,75.93,96.64,99.86,108.59,125.0,146.1,ACRYSIL
Borrowings,18.52,26.93,36.82,53.64,46.87,61.06,75.74,82.86,84.05,92.17,ACRYSIL
Other Liabilities,11.51,17.43,21.69,22.89,38.14,28.22,38.53,46.49,50.63,78.28,ACRYSIL
Total,58.1,76.22,96.74,123.35,166.13,191.11,219.32,243.13,265.02,321.89,ACRYSIL
Net Block,20.56,24.8,27.83,33.65,37.41,60.81,72.93,81.58,86.93,111.64,ACRYSIL
Capital Work in Progress,0.4,0.06,0.82,2.28,1.76,2.18,2.12,3.37,6.46,9.68,ACRYSIL
Investments,1.09,5.19,7.4,12.72,13.94,14.08,14.08,14.08,14.08,14.08,ACRYSIL
Other Assets,36.05,46.17,60.69,74.7,113.02,114.04,130.19,144.1,157.55,186.49,ACRYSIL
Total,58.1,76.22,96.74,123.35,166.13,191.11,219.32,243.13,265.02,321.89,ACRYSIL
Receivables,14.86,20.06,24.39,27.56,34.29,29.65,40.24,43.93,50.94,60.85,ACRYSIL
Inventory,10.45,16.27,21.29,23.31,24.35,28.41,33.17,39.51,42.07,38.98,ACRYSIL
Cash & Bank,1.48,1.86,2.04,5.11,25.16,19.86,15.73,11.26,14.81,14.56,ACRYSIL
No. of Equity Shares,2972000.0,4458000.0,4508000.0,4658000.0,5188976.0,5188976.0,5188976.0,25944880.0,26694880.0,26694880.0,ACRYSIL
New Bonus Shares,,1486000.0,,,,,,,,,ACRYSIL
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,ACRYSIL
