Report Date,Unnamed: 1,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,951.12,1810.93,1043.25,383.94,1099.55,1461.09,1103.24,1214.24,1570.11,MAZDOCK
Expenses,,927.86,1664.56,1070.54,367.8,1026.98,1368.84,1060.33,1143.99,1484.96,MAZDOCK
Other Income,,159.63,135.21,145.41,6.23,85.92,108.89,273.02,74.11,95.6,MAZDOCK
Depreciation,,18.89,13.98,20.19,6.77,17.99,17.66,17.23,17.2,17.3,MAZDOCK
Interest,,2.49,2.06,2.22,2.1,2.08,2.09,2.09,1.92,1.91,MAZDOCK
Profit before tax,,161.51,265.54,95.71,13.5,138.42,181.39,296.61,125.24,161.54,MAZDOCK
Tax,,78.4,76.52,29.42,-0.41,52.01,32.65,66.1,32.49,30.54,MAZDOCK
Net profit,,83.11,189.02,66.29,13.91,86.41,148.74,230.51,92.75,131.0,MAZDOCK
Operating Profit,,23.26,146.37,-27.29,16.14,72.57,92.25,42.91,70.25,85.15,MAZDOCK
