Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,0.05,26.38,26.38,26.38,26.38,26.38,26.38,GOKULAGRO
Reserves,,,,157.29,145.11,165.28,178.17,183.25,197.46,232.12,GOKULAGRO
Borrowings,,,,249.67,225.45,292.05,345.17,311.26,222.02,141.16,GOKULAGRO
Other Liabilities,,,,578.12,855.64,781.71,699.84,748.3,877.58,830.42,GOKULAGRO
Total,,,,985.13,1252.58,1265.42,1249.56,1269.19,1323.44,1230.08,GOKULAGRO
Net Block,,,,142.58,135.16,177.94,222.1,215.67,239.83,232.22,GOKULAGRO
Capital Work in Progress,,,,4.89,33.07,14.93,10.31,10.92,2.89,4.4,GOKULAGRO
Investments,,,,41.36,34.56,9.49,20.2,21.04,22.79,23.72,GOKULAGRO
Other Assets,,,,796.3,1049.79,1063.06,996.95,1021.56,1057.93,969.74,GOKULAGRO
Total,,,,985.13,1252.58,1265.42,1249.56,1269.19,1323.44,1230.08,GOKULAGRO
Receivables,,,,234.98,235.5,361.33,344.86,322.93,343.0,320.07,GOKULAGRO
Inventory,,,,315.49,369.58,352.32,413.86,472.68,468.58,367.62,GOKULAGRO
Cash & Bank,,,,79.22,247.68,234.39,121.83,107.84,129.03,143.51,GOKULAGRO
No. of Equity Shares,,,,50000.0,131895000.0,131895000.0,131895000.0,131895000.0,131895000.0,131895000.0,GOKULAGRO
New Bonus Shares,,,,,,,,,,,GOKULAGRO
Face value,,,,10.0,2.0,2.0,2.0,2.0,2.0,2.0,GOKULAGRO
