Report Date,Unnamed: 1,2011-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,10.0,10.0,50.0,50.0,50.0,50.0,50.0,50.0,99.92,ANURAS
Reserves,,22.84,61.2,57.63,97.27,193.78,381.59,431.85,514.99,1472.69,ANURAS
Borrowings,,55.59,116.79,143.88,278.83,312.33,424.76,662.13,817.97,386.31,ANURAS
Other Liabilities,,20.29,29.43,51.15,55.05,76.1,121.57,169.91,279.86,336.4,ANURAS
Total,,108.72,217.42,302.66,481.15,632.21,977.92,1313.89,1662.82,2295.32,ANURAS
Net Block,,45.36,90.38,145.47,259.12,312.57,379.08,681.8,978.25,1115.97,ANURAS
Capital Work in Progress,,0.51,0.64,21.44,63.66,87.71,250.04,182.96,100.75,42.45,ANURAS
Investments,,1.45,0.13,1.78,1.83,2.04,2.18,0.41,0.41,0.01,ANURAS
Other Assets,,61.4,126.27,133.97,156.54,229.89,346.62,448.72,583.41,1136.89,ANURAS
Total,,108.72,217.42,302.66,481.15,632.21,977.92,1313.89,1662.82,2295.32,ANURAS
Receivables,,13.25,29.75,27.01,21.73,55.88,88.39,120.59,129.49,205.49,ANURAS
Inventory,,41.52,50.77,57.73,75.48,103.13,172.52,195.34,296.73,491.21,ANURAS
Cash & Bank,,0.62,25.47,14.99,15.11,12.04,11.93,10.03,26.67,295.59,ANURAS
No. of Equity Shares,,10000000.0,10000000.0,50000000.0,50000000.0,50000100.0,50000100.0,50000100.0,50000100.0,99922391.0,ANURAS
New Bonus Shares,,,,40000000.0,,,,,,,ANURAS
Face value,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,ANURAS
