Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Cash from Operating Activity,-2.94,29.21,-16.13,5.74,12.63,25.64,-30.08,16.41,31.22,21.75,ASPINWALL
Cash from Investing Activity,-2.86,-2.03,1.31,5.71,-3.72,-6.87,-5.09,-2.27,-0.11,-1.26,ASPINWALL
Cash from Financing Activity,5.55,-24.99,13.49,-11.71,-8.27,-19.8,34.67,-13.09,-30.61,-19.91,ASPINWALL
Net Cash Flow,-0.25,2.19,-1.33,-0.26,0.64,-1.03,-0.5,1.05,0.5,0.58,ASPINWALL
