Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,36.85,38.79,40.82,40.82,40.82,42.96,45.21,47.58,47.58,52.34,MURUDCERA
Reserves,262.24,264.43,267.03,268.74,274.09,280.9,275.14,285.49,286.71,278.38,MURUDCERA
Borrowings,135.75,133.33,124.38,108.66,102.82,99.76,103.65,92.62,79.33,84.8,MURUDCERA
Other Liabilities,43.85,42.24,30.81,38.07,48.87,53.74,51.45,47.82,58.89,56.5,MURUDCERA
Total,478.69,478.79,463.04,456.29,466.6,477.36,475.45,473.51,472.51,472.02,MURUDCERA
Net Block,279.37,276.98,279.8,277.65,277.54,308.7,301.69,298.31,306.02,297.27,MURUDCERA
Capital Work in Progress,2.04,2.1,1.99,0.4,19.13,1.69,4.53,0.68,2.05,7.69,MURUDCERA
Investments,3.0,3.66,3.66,3.77,3.9,3.9,3.9,3.9,3.9,3.9,MURUDCERA
Other Assets,194.28,196.05,177.59,174.47,166.03,163.07,165.33,170.62,160.54,163.16,MURUDCERA
Total,478.69,478.79,463.04,456.29,466.6,477.36,475.45,473.51,472.51,472.02,MURUDCERA
Receivables,37.47,38.31,37.0,49.53,33.43,30.75,32.56,45.98,41.07,31.65,MURUDCERA
Inventory,136.37,136.24,117.85,102.11,103.29,103.6,111.8,101.02,99.72,104.5,MURUDCERA
Cash & Bank,5.24,5.16,5.98,5.39,7.15,5.99,4.37,3.03,3.27,3.4,MURUDCERA
No. of Equity Shares,36868779.0,39027470.0,40838779.0,40838779.0,40838779.0,42978779.0,45211700.0,47581700.0,47581700.0,52339000.0,MURUDCERA
New Bonus Shares,,,,,,,,,,,MURUDCERA
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,MURUDCERA
