Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,2020-09-30 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,,,,,,,110.53,119.33,109.5,VIJAYA
Expenses,,,,,,,,60.14,63.98,59.25,VIJAYA
Other Income,,,,,,,,2.37,3.25,3.16,VIJAYA
Depreciation,,,,,,,,13.58,11.79,12.34,VIJAYA
Interest,,,,,,,,4.22,3.91,3.9,VIJAYA
Profit before tax,,,,,,,,34.96,42.9,37.17,VIJAYA
Tax,,,,,,,,8.93,10.62,9.85,VIJAYA
Net profit,,,,,,,,26.02,32.28,27.33,VIJAYA
Operating Profit,,,,,,,,50.39,55.35,50.25,VIJAYA
