Report Date,Unnamed: 1,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,38.72,39.14,50.19,16.96,41.47,58.37,73.82,55.74,58.81,LIKHITHA
Expenses,,32.14,28.9,44.88,14.6,33.76,45.88,57.2,41.72,45.16,LIKHITHA
Other Income,,0.24,0.37,0.62,0.12,0.19,0.93,1.08,0.31,0.96,LIKHITHA
Depreciation,,0.7,0.87,0.87,0.56,0.57,0.63,0.69,0.78,0.74,LIKHITHA
Interest,,0.52,0.33,0.31,0.05,0.26,0.22,0.14,0.03,0.06,LIKHITHA
Profit before tax,,5.6,9.41,4.75,1.87,7.07,12.57,16.87,13.52,13.81,LIKHITHA
Tax,,1.05,2.6,0.96,0.79,1.69,3.05,3.85,3.36,3.43,LIKHITHA
Net profit,,4.55,6.81,3.79,1.09,5.37,9.51,13.02,10.15,10.38,LIKHITHA
Operating Profit,,6.58,10.24,5.31,2.36,7.71,12.49,16.62,14.02,13.65,LIKHITHA
