Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,5.75,5.75,10.06,10.06,10.06,10.56,CRAFTSMAN
Reserves,,,,,512.28,584.45,606.98,690.91,721.64,967.89,CRAFTSMAN
Borrowings,,,,,521.39,777.03,846.68,985.26,1040.64,703.54,CRAFTSMAN
Other Liabilities,,,,,454.8,465.12,499.27,563.0,547.66,679.58,CRAFTSMAN
Total,,,,,1494.22,1832.35,1962.99,2249.23,2320.0,2361.57,CRAFTSMAN
Net Block,,,,,989.58,1227.83,1259.43,1490.66,1545.72,1510.51,CRAFTSMAN
Capital Work in Progress,,,,,40.03,11.16,24.31,90.62,88.83,31.97,CRAFTSMAN
Investments,,,,,11.82,10.76,10.97,9.1,25.56,28.17,CRAFTSMAN
Other Assets,,,,,452.79,582.6,668.28,658.85,659.89,790.92,CRAFTSMAN
Total,,,,,1494.22,1832.35,1962.99,2249.23,2320.0,2361.57,CRAFTSMAN
Receivables,,,,,138.64,175.53,204.46,210.85,193.7,235.48,CRAFTSMAN
Inventory,,,,,171.29,217.99,290.66,312.0,314.24,397.64,CRAFTSMAN
Cash & Bank,,,,,15.41,37.45,45.65,25.32,70.39,41.73,CRAFTSMAN
No. of Equity Shares,,,,,574903.0,574903.0,1006080.0,20121600.0,20121600.0,21128311.0,CRAFTSMAN
New Bonus Shares,,,,,,,,,,,CRAFTSMAN
Face value,,,,,100.0,100.0,100.0,5.0,5.0,5.0,CRAFTSMAN
