Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,0.05,9.5,9.5,9.5,9.5,9.5,9.5,PDMJEPAPER
Reserves,,,,0.96,195.4,215.39,233.19,248.59,270.46,301.0,PDMJEPAPER
Borrowings,,,,,113.96,72.4,64.4,83.07,74.28,49.08,PDMJEPAPER
Other Liabilities,,,,0.01,110.68,108.7,137.05,142.79,161.66,188.22,PDMJEPAPER
Total,,,,1.02,429.54,405.99,444.14,483.95,515.9,547.8,PDMJEPAPER
Net Block,,,,,171.96,189.76,213.6,215.91,230.36,226.67,PDMJEPAPER
Capital Work in Progress,,,,,66.71,47.91,31.68,42.21,29.02,28.95,PDMJEPAPER
Investments,,,,,,25.0,20.32,23.83,53.09,106.76,PDMJEPAPER
Other Assets,,,,1.02,190.87,143.32,178.54,202.0,203.43,185.42,PDMJEPAPER
Total,,,,1.02,429.54,405.99,444.14,483.95,515.9,547.8,PDMJEPAPER
Receivables,,,,,59.29,59.34,62.59,67.66,53.47,58.63,PDMJEPAPER
Inventory,,,,,100.83,53.31,68.22,94.57,91.93,80.69,PDMJEPAPER
Cash & Bank,,,,0.05,4.23,8.53,14.66,7.47,9.02,11.79,PDMJEPAPER
No. of Equity Shares,,,,500000.0,94950000.0,94950000.0,94950000.0,94950000.0,94950000.0,94950000.0,PDMJEPAPER
New Bonus Shares,,,,,,,,,,,PDMJEPAPER
Face value,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,PDMJEPAPER
