Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,10.61,10.61,10.61,10.61,10.61,10.61,10.61,10.61,10.61,10.61,PODDARMENT
Reserves,50.24,60.55,71.23,84.03,99.18,149.76,186.56,208.03,177.56,232.35,PODDARMENT
Borrowings,21.64,14.73,6.37,0.75,3.02,1.14,0.75,,,,PODDARMENT
Other Liabilities,20.9,28.17,32.5,27.83,23.79,27.23,24.5,27.22,32.82,24.29,PODDARMENT
Total,103.39,114.06,120.71,123.22,136.6,188.74,222.42,245.86,220.99,267.25,PODDARMENT
Net Block,31.75,30.33,28.15,26.19,25.27,27.41,25.98,37.94,36.09,34.51,PODDARMENT
Capital Work in Progress,,0.01,,,,,0.01,0.33,8.04,36.21,PODDARMENT
Investments,4.08,3.59,,6.01,11.76,55.84,81.73,87.39,50.26,91.08,PODDARMENT
Other Assets,67.56,80.13,92.56,91.02,99.57,105.49,114.7,120.2,126.6,105.45,PODDARMENT
Total,103.39,114.06,120.71,123.22,136.6,188.74,222.42,245.86,220.99,267.25,PODDARMENT
Receivables,28.85,39.06,42.46,33.87,51.15,51.75,47.9,47.02,40.62,40.78,PODDARMENT
Inventory,30.04,35.28,37.83,39.48,37.15,32.24,47.27,49.16,50.78,43.22,PODDARMENT
Cash & Bank,2.49,0.76,4.9,7.85,3.23,11.54,9.24,11.19,11.64,8.98,PODDARMENT
No. of Equity Shares,10610000.0,10610000.0,10610000.0,10610000.0,10610000.0,10610000.0,10610000.0,10610000.0,10610000.0,10610000.0,PODDARMENT
New Bonus Shares,,,,,,,,,,,PODDARMENT
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,PODDARMENT
