Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,2840.82,4078.76,4886.62,4587.6,3069.35,3104.87,1913.76,BDL
Raw Material Cost,,,,1853.89,2623.15,3125.23,2907.59,1818.97,1014.09,970.08,BDL
Change in Inventory,,,,-26.63,137.86,124.38,53.7,165.87,-503.66,128.91,BDL
Power and Fuel,,,,26.91,30.18,24.34,27.33,26.04,27.21,23.28,BDL
Other Mfr. Exp,,,,125.25,331.6,378.51,39.47,51.27,59.38,49.57,BDL
Employee Cost,,,,312.52,326.25,448.45,529.46,534.33,534.13,501.12,BDL
Selling and admin,,,,167.13,53.04,81.49,254.64,122.77,132.18,104.31,BDL
Other Expenses,,,,51.68,337.28,383.6,213.87,58.81,77.92,48.79,BDL
Other Income,,,,439.03,384.76,299.94,172.56,135.99,88.05,94.61,BDL
Depreciation,,,,66.68,53.22,62.02,63.48,82.5,96.44,94.54,BDL
Interest,,,,5.23,5.39,4.49,4.2,5.15,5.46,4.71,BDL
Profit before tax,,,,643.93,841.27,802.81,773.82,671.37,742.45,340.88,BDL
Tax,,,,200.38,279.2,278.75,245.68,248.78,207.55,83.11,BDL
Net profit,,,,443.55,562.07,524.06,528.15,422.59,534.9,257.77,BDL
