Report Date,Unnamed: 1,2011-03-31 00:00:00,2012-03-31 00:00:00,2013-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,1.41,1.81,1.81,1.81,1.81,2.14,14.55,14.55,14.55,MARSHALL
Reserves,,3.33,4.89,6.53,6.94,8.05,15.69,23.96,26.72,34.5,MARSHALL
Borrowings,,11.72,17.18,24.68,26.06,23.85,28.92,34.2,36.65,38.95,MARSHALL
Other Liabilities,,9.59,9.83,13.44,24.58,31.32,32.9,35.06,43.2,45.0,MARSHALL
Total,,26.05,33.71,46.46,59.39,65.03,79.65,107.77,121.12,133.0,MARSHALL
Net Block,,5.5,8.74,10.32,11.47,14.99,22.79,46.39,38.8,68.29,MARSHALL
Capital Work in Progress,,2.19,0.76,2.97,1.01,1.01,,,14.11,,MARSHALL
Investments,,,,,,,,,,,MARSHALL
Other Assets,,18.36,24.21,33.17,46.91,49.03,56.86,61.38,68.21,64.71,MARSHALL
Total,,26.05,33.71,46.46,59.39,65.03,79.65,107.77,121.12,133.0,MARSHALL
Receivables,,1.85,2.42,3.2,4.72,8.23,11.42,12.35,14.04,11.68,MARSHALL
Inventory,,13.63,18.13,25.32,39.08,36.73,38.3,39.91,45.79,48.03,MARSHALL
Cash & Bank,,0.83,1.2,2.7,1.33,1.93,3.93,4.22,4.51,2.27,MARSHALL
No. of Equity Shares,,1410080.0,1810080.0,1810080.0,1810080.0,1810080.0,2136000.0,14550000.0,14550000.0,14550000.0,MARSHALL
New Bonus Shares,,,,,,,,,,,MARSHALL
Face value,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,MARSHALL
