Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,10.2,10.2,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,AROGRANITE
Reserves,102.3,112.42,126.62,139.39,143.36,154.17,155.3,164.92,166.19,172.34,AROGRANITE
Borrowings,71.23,95.34,109.19,118.92,115.35,101.78,92.57,128.83,158.92,168.43,AROGRANITE
Other Liabilities,36.54,31.09,40.82,36.18,35.24,37.05,40.52,34.44,54.14,48.43,AROGRANITE
Total,220.27,249.05,291.93,309.79,309.25,308.3,303.69,343.49,394.55,404.5,AROGRANITE
Net Block,68.31,85.05,83.57,73.69,72.55,90.56,89.78,89.94,139.3,174.43,AROGRANITE
Capital Work in Progress,15.22,,,6.97,20.66,2.46,5.55,22.69,41.55,0.98,AROGRANITE
Investments,0.02,0.02,0.02,0.02,0.02,0.02,0.9,0.81,0.85,0.87,AROGRANITE
Other Assets,136.72,163.98,208.34,229.11,216.02,215.26,207.46,230.05,212.85,228.22,AROGRANITE
Total,220.27,249.05,291.93,309.79,309.25,308.3,303.69,343.49,394.55,404.5,AROGRANITE
Receivables,56.18,72.13,88.21,84.6,80.81,82.27,69.98,57.37,58.82,64.02,AROGRANITE
Inventory,66.71,74.96,90.69,112.15,110.6,112.35,108.32,118.47,129.22,139.14,AROGRANITE
Cash & Bank,3.77,3.25,15.76,20.27,11.64,10.92,11.32,13.62,10.57,9.98,AROGRANITE
No. of Equity Shares,10200000.0,10200000.0,15300000.0,15300000.0,15300000.0,15300000.0,15300000.0,15300000.0,15300000.0,15300000.0,AROGRANITE
New Bonus Shares,,,,,,,,,,,AROGRANITE
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,AROGRANITE
