Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,1.02,1.03,1.03,1.03,10.53,10.58,20.33,SUVIDHAA
Reserves,,,,31.75,13.54,-6.82,-18.09,47.47,50.3,120.4,SUVIDHAA
Borrowings,,,,4.05,12.81,24.99,12.62,3.37,,,SUVIDHAA
Other Liabilities,,,,31.72,47.66,53.61,35.09,31.17,53.23,43.12,SUVIDHAA
Total,,,,68.54,75.04,72.81,30.65,92.54,114.11,183.85,SUVIDHAA
Net Block,,,,5.12,3.9,2.26,1.22,23.43,48.46,49.62,SUVIDHAA
Capital Work in Progress,,,,0.14,0.33,1.45,1.32,,6.72,1.52,SUVIDHAA
Investments,,,,,,,,38.74,38.79,69.06,SUVIDHAA
Other Assets,,,,63.28,70.81,69.1,28.11,30.37,20.14,63.65,SUVIDHAA
Total,,,,68.54,75.04,72.81,30.65,92.54,114.11,183.85,SUVIDHAA
Receivables,,,,3.97,1.33,2.71,6.61,5.36,6.84,13.53,SUVIDHAA
Inventory,,,,,,,,,,,SUVIDHAA
Cash & Bank,,,,38.89,28.79,31.95,5.43,4.44,3.63,3.29,SUVIDHAA
No. of Equity Shares,,,,10215167.0,10308446.0,10319546.0,10333046.0,105301885.0,105800000.0,203290000.0,SUVIDHAA
New Bonus Shares,,,,,,,,,,,SUVIDHAA
Face value,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,SUVIDHAA
