Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2011-03-31 00:00:00,2012-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,2.0,2.0,4.95,4.95,6.75,10.13,10.13,AAKASH
Reserves,,,,2.87,3.13,12.03,14.36,25.95,27.22,31.36,AAKASH
Borrowings,,,,2.81,0.54,14.52,20.41,27.03,23.67,18.17,AAKASH
Other Liabilities,,,,3.52,1.72,2.32,4.86,3.35,5.66,6.03,AAKASH
Total,,,,11.2,7.39,33.82,44.58,63.08,66.68,65.69,AAKASH
Net Block,,,,3.69,3.0,19.21,17.92,38.81,44.68,41.95,AAKASH
Capital Work in Progress,,,,,,,,,,,AAKASH
Investments,,,,,,,,,,3.06,AAKASH
Other Assets,,,,7.51,4.39,14.61,26.66,24.27,22.0,20.68,AAKASH
Total,,,,11.2,7.39,33.82,44.58,63.08,66.68,65.69,AAKASH
Receivables,,,,3.53,1.77,8.85,18.77,18.46,17.33,14.94,AAKASH
Inventory,,,,,,,,,,,AAKASH
Cash & Bank,,,,0.58,0.34,3.04,0.93,0.61,0.5,1.23,AAKASH
No. of Equity Shares,,,,2000500.0,2000500.0,4950000.0,4950000.0,6750000.0,10125000.0,10125000.0,AAKASH
New Bonus Shares,,,,,,,,,,,AAKASH
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,AAKASH
