Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2015-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,456.41,150.0,150.0,200.0,242.36,315.09,NUVOCO
Reserves,,,,,3522.4,3798.95,3967.27,4751.32,5036.88,7057.25,NUVOCO
Borrowings,,,,,300.0,4314.38,4373.19,4625.9,3592.56,3894.38,NUVOCO
Other Liabilities,,,,,2152.14,3022.09,3133.3,3632.77,4572.48,5506.58,NUVOCO
Total,,,,,6430.95,11285.42,11623.76,13209.99,13444.28,16773.3,NUVOCO
Net Block,,,,,4158.6,8915.99,8689.51,9843.25,9867.3,9606.72,NUVOCO
Capital Work in Progress,,,,,246.77,143.14,143.8,604.88,646.93,960.92,NUVOCO
Investments,,,,,,412.24,844.42,455.65,0.05,2581.41,NUVOCO
Other Assets,,,,,2025.58,1814.05,1946.03,2306.21,2930.0,3624.25,NUVOCO
Total,,,,,6430.95,11285.42,11623.76,13209.99,13444.28,16773.3,NUVOCO
Receivables,,,,,458.2,444.22,415.15,499.86,506.3,387.34,NUVOCO
Inventory,,,,,440.24,361.04,430.2,584.68,603.03,502.04,NUVOCO
Cash & Bank,,,,,298.37,76.93,43.11,124.7,510.86,442.69,NUVOCO
No. of Equity Shares,,,,,456410000.0,150000000.0,150000000.0,200000000.0,242361787.0,315089061.0,NUVOCO
New Bonus Shares,,,,,,,,,,,NUVOCO
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0,NUVOCO
