Report Date,Unnamed: 1,Unnamed: 2,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,,236.14,233.53,41.56,172.15,414.28,590.18,175.34,448.27,DPABHUSHAN
Expenses,,,227.42,222.99,34.77,159.88,398.73,573.9,164.96,428.97,DPABHUSHAN
Other Income,,,0.01,0.43,,0.03,0.02,0.07,0.02,0.01,DPABHUSHAN
Depreciation,,,0.99,0.75,0.53,0.81,0.86,1.49,1.19,1.19,DPABHUSHAN
Interest,,,2.11,2.7,1.91,1.98,2.96,3.8,3.49,3.55,DPABHUSHAN
Profit before tax,,,5.63,7.52,4.35,9.51,11.75,11.06,5.72,14.57,DPABHUSHAN
Tax,,,1.49,1.86,1.1,2.39,3.03,2.72,1.45,3.71,DPABHUSHAN
Net profit,,,4.14,5.66,3.25,7.12,8.72,8.34,4.27,10.86,DPABHUSHAN
Operating Profit,,,8.72,10.54,6.79,12.27,15.55,16.28,10.38,19.3,DPABHUSHAN
