Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,4526.46,6526.46,6526.46,9380.46,11880.46,13068.51,IRFC
Reserves,,,,,4998.89,5483.14,7402.23,15648.19,18419.29,22844.88,IRFC
Borrowings,,,,,87503.18,106394.86,134005.53,173932.67,234376.72,323110.68,IRFC
Other Liabilities,,,,,11371.86,11245.17,13534.1,7642.29,10827.66,19027.65,IRFC
Total,,,,,108400.39,129649.63,161468.32,206603.61,275504.13,378051.72,IRFC
Net Block,,,,,11.76,11.52,11.29,11.28,11.05,45.36,IRFC
Capital Work in Progress,,,,,,,,,,,IRFC
Investments,,,,,7.87,7.87,13.98,13.15,11.51,11.98,IRFC
Other Assets,,,,,108380.76,129630.24,161443.05,206579.18,275481.57,377994.38,IRFC
Total,,,,,108400.39,129649.63,161468.32,206603.61,275504.13,378051.72,IRFC
Receivables,,,,,,,,,,,IRFC
Inventory,,,,,,,,,,,IRFC
Cash & Bank,,,,,1211.21,7.52,99.82,81.07,100.76,458.92,IRFC
No. of Equity Shares,,,,,45264600.0,65264600.0,6526460000.0,9380460000.0,11880460000.0,13068506000.0,IRFC
New Bonus Shares,,,,,,,,,,,IRFC
Face value,,,,,1000.0,10.0,10.0,10.0,10.0,10.0,IRFC
