Report Date,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,685.42,921.51,933.21,646.25,24.03,254.0,681.53,792.85,418.88,819.0,RAYMOND
Expenses,674.61,837.57,820.06,599.33,160.37,312.21,621.97,658.21,445.65,729.86,RAYMOND
Other Income,42.98,36.84,28.75,56.31,44.26,37.02,30.87,26.92,135.18,18.3,RAYMOND
Depreciation,36.6,39.64,41.53,37.55,38.32,37.67,36.21,32.84,28.76,27.68,RAYMOND
Interest,49.89,51.98,49.21,43.41,44.12,45.93,41.86,38.26,35.79,36.53,RAYMOND
Profit before tax,-32.7,29.16,51.16,22.27,-174.52,-104.79,12.36,90.46,43.86,43.23,RAYMOND
Tax,-10.47,-33.69,18.07,1.67,-55.69,-37.85,4.43,31.11,-1.26,14.99,RAYMOND
Net profit,-22.23,62.85,33.09,20.6,-118.83,-66.94,7.93,59.35,45.12,28.24,RAYMOND
Operating Profit,10.81,83.94,113.15,46.92,-136.34,-58.21,59.56,134.64,-26.77,89.14,RAYMOND
