Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,967.49,1011.35,1086.79,1332.26,1705.8,1644.15,1652.21,GULFOILLUB
Raw Material Cost,,,,521.94,505.84,533.73,629.39,857.54,748.62,815.22,GULFOILLUB
Change in Inventory,,,,-10.33,15.28,2.68,10.8,28.16,14.99,27.74,GULFOILLUB
Power and Fuel,,,,2.17,2.37,2.79,3.24,4.69,4.26,4.17,GULFOILLUB
Other Mfr. Exp,,,,66.44,69.22,75.0,92.63,126.68,113.16,119.35,GULFOILLUB
Employee Cost,,,,44.24,57.76,71.16,82.93,102.13,114.48,116.95,GULFOILLUB
Selling and admin,,,0.01,184.95,222.21,218.17,287.44,343.79,378.51,344.06,GULFOILLUB
Other Expenses,,,,7.93,10.06,10.53,11.71,16.01,12.76,15.01,GULFOILLUB
Other Income,,,,9.12,17.92,20.06,26.1,29.48,34.72,52.06,GULFOILLUB
Depreciation,,,,4.82,6.04,7.25,10.43,22.36,32.7,33.87,GULFOILLUB
Interest,,,,17.75,17.79,9.82,8.53,15.16,24.83,14.64,GULFOILLUB
Profit before tax,,,-0.01,116.04,153.26,181.08,242.86,275.08,264.54,268.74,GULFOILLUB
Tax,,,,38.63,52.95,63.52,84.3,97.29,62.02,68.65,GULFOILLUB
Net profit,,,-0.01,77.41,100.31,117.56,158.56,177.78,202.52,200.09,GULFOILLUB
