Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,115.0,97.75,122.19,183.28,183.28,183.28,183.28,BDL
Reserves,,,,1537.67,1753.49,2072.79,1773.1,2085.26,2423.55,2501.47,BDL
Borrowings,,,,,3.71,3.58,3.69,5.39,14.51,11.29,BDL
Other Liabilities,,,,6759.3,7785.68,6208.42,4696.99,3249.51,3128.46,3333.68,BDL
Total,,,,8411.97,9640.63,8406.98,6657.06,5523.44,5749.8,6029.72,BDL
Net Block,,,,517.7,696.77,757.13,868.38,956.97,932.37,914.99,BDL
Capital Work in Progress,,,,142.27,126.21,135.88,129.84,47.03,42.06,21.5,BDL
Investments,,,,2.93,2.95,2.95,238.99,3.72,3.9,4.52,BDL
Other Assets,,,,7749.07,8814.7,7511.02,5419.85,4515.72,4771.47,5088.71,BDL
Total,,,,8411.97,9640.63,8406.98,6657.06,5523.44,5749.8,6029.72,BDL
Receivables,,,,334.79,144.86,154.55,770.41,525.93,338.37,322.69,BDL
Inventory,,,,1475.67,2057.66,2267.3,1984.56,1719.55,921.05,1464.97,BDL
Cash & Bank,,,,3668.92,3242.49,1738.01,356.79,371.32,663.49,1560.95,BDL
No. of Equity Shares,,,,1150000.0,977500.0,1221875.0,183281250.0,183281250.0,183281250.0,183281250.0,BDL
New Bonus Shares,,,,,,,,,,,BDL
Face value,,,,1000.0,1000.0,1000.0,10.0,10.0,10.0,10.0,BDL
