Report Date,Unnamed: 1,Unnamed: 2,2011-03-31 00:00:00,2012-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Cash from Operating Activity,,,,,-336.07,1333.74,212.75,1799.3,439.62,2043.94,EQUITASBNK
Cash from Investing Activity,,,,,-8.72,-404.97,-11.3,-6.62,-71.73,-42.8,EQUITASBNK
Cash from Financing Activity,,,,,168.06,-562.55,-28.37,-1706.25,908.28,-1153.91,EQUITASBNK
Net Cash Flow,,,,,-176.73,366.22,173.08,86.43,1276.17,847.23,EQUITASBNK
