Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,62.25,78.57,78.57,78.78,94.51,94.93,APTUS
Reserves,,,,,149.74,442.16,505.74,608.12,1573.49,1795.43,APTUS
Borrowings,,,,,277.33,305.67,825.64,1551.91,1829.83,2174.46,APTUS
Other Liabilities,,,,,11.47,18.39,39.58,23.89,17.52,24.43,APTUS
Total,,,,,500.79,844.79,1449.53,2262.7,3515.35,4089.25,APTUS
Net Block,,,,,2.08,4.67,4.34,3.99,10.1,9.56,APTUS
Capital Work in Progress,,,,,0.13,,,,,,APTUS
Investments,,,,,7.0,7.53,59.52,90.0,151.38,204.66,APTUS
Other Assets,,,,,491.58,832.59,1385.67,2168.71,3353.87,3875.03,APTUS
Total,,,,,500.79,844.79,1449.53,2262.7,3515.35,4089.25,APTUS
Receivables,,,,,,,,,,,APTUS
Inventory,,,,,,,,,,,APTUS
Cash & Bank,,,,,10.94,9.25,12.43,110.59,598.38,417.27,APTUS
No. of Equity Shares,,,,,62249872.0,78570137.0,78570137.0,78782637.0,95863258.0,96283258.0,APTUS
New Bonus Shares,,,,,,,,,,,APTUS
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0,APTUS
