Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,2085.02,2085.02,2085.02,2085.02,2085.02,2085.02,2085.02,2085.02,RVNL
Reserves,,,466.58,675.15,918.85,998.17,1266.46,1653.74,2414.76,2880.56,RVNL
Borrowings,,,9217.98,2513.97,2624.08,2436.88,2259.15,3024.2,4256.65,5671.51,RVNL
Other Liabilities,,,1425.45,10557.51,16152.87,2837.19,2101.2,4668.71,3018.64,2912.76,RVNL
Total,,,13195.03,15831.65,21780.82,8357.26,7711.83,11431.67,11775.07,13549.85,RVNL
Net Block,,,6.95,5.79,5.97,7.57,248.87,279.23,305.3,292.15,RVNL
Capital Work in Progress,,,0.75,1.66,5.58,12.73,21.14,11.44,24.73,53.44,RVNL
Investments,,,486.77,595.11,605.16,614.85,658.67,928.84,968.93,1062.03,RVNL
Other Assets,,,12700.56,15229.09,21164.11,7722.11,6783.15,10212.16,10476.11,12142.23,RVNL
Total,,,13195.03,15831.65,21780.82,8357.26,7711.83,11431.67,11775.07,13549.85,RVNL
Receivables,,,62.52,187.27,478.84,481.43,714.84,639.91,836.65,981.87,RVNL
Inventory,,,9276.85,11564.54,14811.5,740.77,1.92,4.48,9.18,23.49,RVNL
Cash & Bank,,,1228.85,1289.79,3030.94,2699.43,1400.83,942.39,979.77,2041.92,RVNL
No. of Equity Shares,,,2085020100.0,2085020100.0,2085020100.0,2085020100.0,2085020100.0,2085020100.0,2085020100.0,2085020100.0,RVNL
New Bonus Shares,,,,,,,,,,,RVNL
Face value,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,RVNL
