Report Date,Unnamed: 1,Unnamed: 2,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,,200.36,154.0,92.07,236.77,294.68,235.44,214.21,362.84,STOVEKRAFT
Expenses,,,183.94,155.69,82.47,201.54,251.92,210.23,194.04,322.24,STOVEKRAFT
Other Income,,,0.75,0.17,0.09,0.49,0.08,0.8,0.44,0.14,STOVEKRAFT
Depreciation,,,3.16,3.27,3.41,3.39,3.81,3.62,4.12,4.79,STOVEKRAFT
Interest,,,5.14,5.62,4.65,5.45,5.55,3.18,2.96,3.89,STOVEKRAFT
Profit before tax,,,8.87,-10.41,1.63,26.88,33.48,19.21,13.53,32.06,STOVEKRAFT
Tax,,,,,,,,,,9.14,STOVEKRAFT
Net profit,,,8.87,-10.41,1.62,26.88,33.47,19.21,13.53,22.93,STOVEKRAFT
Operating Profit,,,16.42,-1.69,9.6,35.23,42.76,25.21,20.17,40.6,STOVEKRAFT
