Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,,,157.07,135.38,219.71,184.12,271.67,233.68,248.92,ANURAS
Expenses,,,,124.36,102.32,175.68,130.99,208.69,173.28,185.49,ANURAS
Other Income,,,,8.19,-0.77,19.24,5.47,2.49,4.29,6.24,ANURAS
Depreciation,,,,11.3,12.45,12.72,13.15,13.34,14.38,14.82,ANURAS
Interest,,,,13.16,17.88,17.26,14.42,18.99,6.61,5.22,ANURAS
Profit before tax,,,,16.44,1.96,33.29,31.03,33.14,43.7,49.63,ANURAS
Tax,,,,6.02,1.69,7.26,9.61,10.94,11.73,13.81,ANURAS
Net profit,,,,10.43,0.26,26.03,21.43,22.2,31.98,35.83,ANURAS
Operating Profit,,,,32.71,33.06,44.03,53.13,62.98,60.4,63.43,ANURAS
