Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,87.66,,87.64,87.64,87.64,87.64,20.0,DIGJAMLMTD
Reserves,,,,-90.59,36.44,16.77,-15.34,-58.68,-76.12,18.46,DIGJAMLMTD
Borrowings,,,,52.18,53.16,82.53,90.07,97.09,99.57,47.88,DIGJAMLMTD
Other Liabilities,,,,51.51,139.15,48.57,56.3,74.91,82.88,46.51,DIGJAMLMTD
Total,,,,100.76,228.75,235.51,218.67,200.96,193.97,132.85,DIGJAMLMTD
Net Block,,,,32.83,178.38,176.38,173.63,170.84,168.2,119.85,DIGJAMLMTD
Capital Work in Progress,,,,,,,,,,,DIGJAMLMTD
Investments,,,,,,,,,,,DIGJAMLMTD
Other Assets,,,,67.93,50.37,59.13,45.04,30.12,25.77,13.0,DIGJAMLMTD
Total,,,,100.76,228.75,235.51,218.67,200.96,193.97,132.85,DIGJAMLMTD
Receivables,,,,16.03,13.13,14.63,6.11,3.27,1.81,1.61,DIGJAMLMTD
Inventory,,,,37.54,32.62,40.82,35.77,23.38,22.16,9.13,DIGJAMLMTD
Cash & Bank,,,,2.09,1.72,1.73,1.47,2.51,0.5,0.16,DIGJAMLMTD
No. of Equity Shares,,,,87657907.0,,87641621.0,87641621.0,87641621.0,87641621.0,20000000.0,DIGJAMLMTD
New Bonus Shares,,,,,,,,,,,DIGJAMLMTD
Face value,,,,10.0,,10.0,10.0,10.0,10.0,10.0,DIGJAMLMTD
