Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,0.1,268.5,268.88,269.04,KPITTECH
Reserves,,,,,,,-0.27,654.97,663.19,779.22,KPITTECH
Borrowings,,,,,,,,132.33,149.92,59.83,KPITTECH
Other Liabilities,,,,,,,0.26,182.95,165.32,211.67,KPITTECH
Total,,,,,,,0.09,1238.75,1247.31,1319.76,KPITTECH
Net Block,,,,,,,,297.52,349.43,279.3,KPITTECH
Capital Work in Progress,,,,,,,,0.51,4.96,12.04,KPITTECH
Investments,,,,,,,,421.37,285.39,403.33,KPITTECH
Other Assets,,,,,,,0.09,519.35,607.53,625.09,KPITTECH
Total,,,,,,,0.09,1238.75,1247.31,1319.76,KPITTECH
Receivables,,,,,,,,219.23,305.53,163.71,KPITTECH
Inventory,,,,,,,,0.92,11.53,,KPITTECH
Cash & Bank,,,,,,,0.1,38.99,75.21,308.67,KPITTECH
No. of Equity Shares,,,,,,,100000.0,268502435.0,268879735.0,269043560.0,KPITTECH
New Bonus Shares,,,,,,,,,,,KPITTECH
Face value,,,,,,,10.0,10.0,10.0,10.0,KPITTECH
