Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,12.12,13.22,13.22,92.57,92.57,185.13,192.03,192.03,192.04,192.07,GODREJAGRO
Reserves,201.82,405.55,473.12,499.08,605.25,717.48,1096.85,1198.85,1385.69,1563.8,GODREJAGRO
Borrowings,144.88,475.13,619.81,684.61,1223.64,483.4,216.72,110.96,410.28,713.8,GODREJAGRO
Other Liabilities,560.62,330.12,438.22,417.5,461.92,1007.75,1059.59,1383.35,1255.14,763.61,GODREJAGRO
Total,919.44,1224.02,1544.37,1693.76,2383.38,2393.76,2565.19,2885.19,3243.15,3233.28,GODREJAGRO
Net Block,192.37,314.08,453.02,531.18,681.81,699.68,690.06,833.68,899.4,1011.34,GODREJAGRO
Capital Work in Progress,110.19,124.58,149.23,138.05,37.1,30.32,114.29,63.3,120.76,15.31,GODREJAGRO
Investments,127.53,132.39,99.43,149.28,481.77,505.99,532.47,547.4,592.35,596.1,GODREJAGRO
Other Assets,489.35,652.97,842.69,875.25,1182.7,1157.77,1228.37,1440.81,1630.64,1610.53,GODREJAGRO
Total,919.44,1224.02,1544.37,1693.76,2383.38,2393.76,2565.19,2885.19,3243.15,3233.28,GODREJAGRO
Receivables,120.75,177.97,224.42,266.78,366.17,407.45,489.99,588.38,713.76,646.85,GODREJAGRO
Inventory,193.63,263.48,318.71,387.0,522.84,573.04,551.19,674.97,597.09,696.67,GODREJAGRO
Cash & Bank,18.16,21.61,113.77,16.29,26.2,44.46,12.36,13.69,32.19,33.48,GODREJAGRO
No. of Equity Shares,12118752.0,13223634.0,13223634.0,92565438.0,92565438.0,185130876.0,192028739.0,192028739.0,192041898.0,192071900.0,GODREJAGRO
New Bonus Shares,,,,79341804.0,,92565438.0,,,,,GODREJAGRO
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,GODREJAGRO
